pick,team,team_img,player,player_details,source,url_path,date
9,Kansas City Chiefs,https://d9ioojyvhqpok.cloudfront.net/c446x9vx8lq2j6p7zkcfsihiokog,Jeremiyah Love,"RB, Notre Dame",Pro Football Focus,/mock-drafts/2026/pro-football-focus-2026-max-chadwick?date=2026-01-12,01/12/26
10,Cincinnati Bengals,https://d9ioojyvhqpok.cloudfront.net/o65f4ic0q1imb3plaektqj503ea9,David Bailey,"EDGE, Texas Tech",Pro Football Focus,/mock-drafts/2026/pro-football-focus-2026-max-chadwick?date=2026-01-12,01/12/26
11,Miami Dolphins,https://d9ioojyvhqpok.cloudfront.net/lzktfr6dhb3aifr0duiamn4gf2qr,Mansoor Delane,"CB, LSU",Pro Football Focus,/mock-drafts/2026/pro-football-focus-2026-max-chadwick?date=2026-01-12,01/12/26
12,Dallas Cowboys,https://d9ioojyvhqpok.cloudfront.net/zsuzkt2f9wsdhd2jop9y52t0o23v,Keldric Faulk,"EDGE, Auburn",Pro Football Focus,/mock-drafts/2026/pro-football-focus-2026-max-chadwick?date=2026-01-12,01/12/26
13,Los Angeles Rams,https://d9ioojyvhqpok.cloudfront.net/pdmammif0sowou8yealaa04xvul9,Spencer Fano,"OT, Utah",Pro Football Focus,/mock-drafts/2026/pro-football-focus-2026-max-chadwick?date=2026-01-12,01/12/26
14,Baltimore Ravens,https://d9ioojyvhqpok.cloudfront.net/l3c3j9tg15hi8c9uwjh63zos2wq9,Makai Lemon,"WR, USC",Pro Football Focus,/mock-drafts/2026/pro-football-focus-2026-max-chadwick?date=2026-01-12,01/12/26
15,Tampa Bay Buccaneers,https://d9ioojyvhqpok.cloudfront.net/msuxos8ly0nc1k8hdoqwu4i474gy,Sonny Styles,"LB, Ohio State",Pro Football Focus,/mock-drafts/2026/pro-football-focus-2026-max-chadwick?date=2026-01-12,01/12/26
16,New York Jets,https://d9ioojyvhqpok.cloudfront.net/q24gwl057wr8m45j721lyzcmo02y,Jermod McCoy,"CB, Tennessee",Pro Football Focus,/mock-drafts/2026/pro-football-focus-2026-max-chadwick?date=2026-01-12,01/12/26
17,Detroit Lions,https://d9ioojyvhqpok.cloudfront.net/pgwup27hjja1jlr4t28j28vhj0zg,Francis Mauigoa,"OT, Miami (FL)",Pro Football Focus,/mock-drafts/2026/pro-football-focus-2026-max-chadwick?date=2026-01-12,01/12/26
18,Minnesota Vikings,https://d9ioojyvhqpok.cloudfront.net/k1ggxqxvbcnv1mayof382efyw1jh,Avieon Terrell,"CB, Clemson",Pro Football Focus,/mock-drafts/2026/pro-football-focus-2026-max-chadwick?date=2026-01-12,01/12/26
19,Carolina Panthers,https://d9ioojyvhqpok.cloudfront.net/fr0fbqfjezey73pseroeemh6dkdb,Cashius Howell,"EDGE, Texas A&M",Pro Football Focus,/mock-drafts/2026/pro-football-focus-2026-max-chadwick?date=2026-01-12,01/12/26
20,Dallas Cowboys,https://d9ioojyvhqpok.cloudfront.net/zsuzkt2f9wsdhd2jop9y52t0o23v,C.J. Allen,"LB, Georgia",Pro Football Focus,/mock-drafts/2026/pro-football-focus-2026-max-chadwick?date=2026-01-12,01/12/26
21,Pittsburgh Steelers,https://d9ioojyvhqpok.cloudfront.net/1dn51oaq9jcv4ru5y8d0ia6zi2v9,Ty Simpson,"QB, Alabama",Pro Football Focus,/mock-drafts/2026/pro-football-focus-2026-max-chadwick?date=2026-01-12,01/12/26
22,Los Angeles Chargers,https://d9ioojyvhqpok.cloudfront.net/j4p8yqb1an79ku7jag1o2n7zn7h1,Olaivavega Ioane,"IOL, Penn State",Pro Football Focus,/mock-drafts/2026/pro-football-focus-2026-max-chadwick?date=2026-01-12,01/12/26
23,Philadelphia Eagles,https://d9ioojyvhqpok.cloudfront.net/1ldfq04ko2t2zhj98gk9ivjavhtj,Kenyon Sadiq,"TE, Oregon",Pro Football Focus,/mock-drafts/2026/pro-football-focus-2026-max-chadwick?date=2026-01-12,01/12/26
24,Cleveland Browns,https://d9ioojyvhqpok.cloudfront.net/xsthe9aa7zugcfnftaqb5oalxaz5,Kadyn Proctor,"OT, Alabama",Pro Football Focus,/mock-drafts/2026/pro-football-focus-2026-max-chadwick?date=2026-01-12,01/12/26
25,Chicago Bears,https://d9ioojyvhqpok.cloudfront.net/deocbi3xlwoftxf811tstkfpwco0,Kayden McDonald,"DL, Ohio State",Pro Football Focus,/mock-drafts/2026/pro-football-focus-2026-max-chadwick?date=2026-01-12,01/12/26
26,Buffalo Bills,https://d9ioojyvhqpok.cloudfront.net/a12blaj51bmw2yl495jrpzqzlmx3,Denzel Boston,"WR, Washington",Pro Football Focus,/mock-drafts/2026/pro-football-focus-2026-max-chadwick?date=2026-01-12,01/12/26
27,San Francisco 49Ers,https://d9ioojyvhqpok.cloudfront.net/ir7u6astb3jm8rtcwnnzffzgjj7u,Kevin Concepcion,"WR, Texas A&M",Pro Football Focus,/mock-drafts/2026/pro-football-focus-2026-max-chadwick?date=2026-01-12,01/12/26
28,Houston Texans,https://d9ioojyvhqpok.cloudfront.net/vldmo1l0bjoegyp2z92vnjrvyu15,Caleb Lomu,"OT, Utah",Pro Football Focus,/mock-drafts/2026/pro-football-focus-2026-max-chadwick?date=2026-01-12,01/12/26
29,Los Angeles Rams,https://d9ioojyvhqpok.cloudfront.net/pdmammif0sowou8yealaa04xvul9,Brandon Cisse,"CB, South Carolina",Pro Football Focus,/mock-drafts/2026/pro-football-focus-2026-max-chadwick?date=2026-01-12,01/12/26
30,New England Patriots,https://d9ioojyvhqpok.cloudfront.net/vtc481ivfignu5ryapf3p5earoms,T.J. Parker,"EDGE, Clemson",Pro Football Focus,/mock-drafts/2026/pro-football-focus-2026-max-chadwick?date=2026-01-12,01/12/26
31,Denver Broncos,https://d9ioojyvhqpok.cloudfront.net/0l6xxqizh73gkq4mqqlc9lrsj1vl,Anthony Hill Jr.,"LB, Texas",Pro Football Focus,/mock-drafts/2026/pro-football-focus-2026-max-chadwick?date=2026-01-12,01/12/26
32,Seattle Seahawks,https://d9ioojyvhqpok.cloudfront.net/vc8adiakazhr4lp4ri5nfq7fo3x3,Colton Hood,"CB, Tennessee",Pro Football Focus,/mock-drafts/2026/pro-football-focus-2026-max-chadwick?date=2026-01-12,01/12/26
1,Las Vegas Raiders,https://d9ioojyvhqpok.cloudfront.net/wce65esozohwhhfu9buy5wcnsoq3,Fernando Mendoza,"QB, Indiana",The Devy Royale,/mock-drafts/2026/the-devy-royale-2026-christian-williams?date=2026-01-12,01/12/26
2,New York Jets,https://d9ioojyvhqpok.cloudfront.net/q24gwl057wr8m45j721lyzcmo02y,Arvell Reese,"LB, Ohio State",The Devy Royale,/mock-drafts/2026/the-devy-royale-2026-christian-williams?date=2026-01-12,01/12/26
3,Los Angeles Rams,https://d9ioojyvhqpok.cloudfront.net/pdmammif0sowou8yealaa04xvul9,Dante Moore,"QB, Oregon",The Devy Royale,/mock-drafts/2026/the-devy-royale-2026-christian-williams?date=2026-01-12,01/12/26
4,Tennessee Titans,https://d9ioojyvhqpok.cloudfront.net/plyeetviei2ftzcsdi12xk7a0wc4,Carnell Tate,"WR, Ohio State",The Devy Royale,/mock-drafts/2026/the-devy-royale-2026-christian-williams?date=2026-01-12,01/12/26
5,New York Giants,https://www.nflmockdraftdatabase.com/assets/logos/giants_alt.svg,Francis Mauigoa,"OT, Miami (FL)",The Devy Royale,/mock-drafts/2026/the-devy-royale-2026-christian-williams?date=2026-01-12,01/12/26
6,Cleveland Browns,https://d9ioojyvhqpok.cloudfront.net/xsthe9aa7zugcfnftaqb5oalxaz5,Spencer Fano,"OT, Utah",The Devy Royale,/mock-drafts/2026/the-devy-royale-2026-christian-williams?date=2026-01-12,01/12/26
7,Washington Commanders,https://d9ioojyvhqpok.cloudfront.net/w6k4qaiynbvyn306zrzrrj6w555b,Caleb Downs,"S, Ohio State",The Devy Royale,/mock-drafts/2026/the-devy-royale-2026-christian-williams?date=2026-01-12,01/12/26
8,Minnesota Vikings,https://d9ioojyvhqpok.cloudfront.net/k1ggxqxvbcnv1mayof382efyw1jh,Jeremiyah Love,"RB, Notre Dame",The Devy Royale,/mock-drafts/2026/the-devy-royale-2026-christian-williams?date=2026-01-12,01/12/26
9,Kansas City Chiefs,https://d9ioojyvhqpok.cloudfront.net/c446x9vx8lq2j6p7zkcfsihiokog,Jermod McCoy,"CB, Tennessee",The Devy Royale,/mock-drafts/2026/the-devy-royale-2026-christian-williams?date=2026-01-12,01/12/26
10,Cincinnati Bengals,https://d9ioojyvhqpok.cloudfront.net/o65f4ic0q1imb3plaektqj503ea9,A'Mauri Washington,"DL, Oregon",The Devy Royale,/mock-drafts/2026/the-devy-royale-2026-christian-williams?date=2026-01-12,01/12/26
11,Miami Dolphins,https://d9ioojyvhqpok.cloudfront.net/lzktfr6dhb3aifr0duiamn4gf2qr,Mansoor Delane,"CB, LSU",The Devy Royale,/mock-drafts/2026/the-devy-royale-2026-christian-williams?date=2026-01-12,01/12/26
12,Detroit Lions,https://d9ioojyvhqpok.cloudfront.net/pgwup27hjja1jlr4t28j28vhj0zg,Rueben Bain,"EDGE, Miami (FL)",The Devy Royale,/mock-drafts/2026/the-devy-royale-2026-christian-williams?date=2026-01-12,01/12/26
13,Arizona Cardinals,https://d9ioojyvhqpok.cloudfront.net/5odyoaskz0s5ihgt1xe4k8dh098l,Ty Simpson,"QB, Alabama",The Devy Royale,/mock-drafts/2026/the-devy-royale-2026-christian-williams?date=2026-01-12,01/12/26
14,Baltimore Ravens,https://d9ioojyvhqpok.cloudfront.net/l3c3j9tg15hi8c9uwjh63zos2wq9,David Bailey,"EDGE, Texas Tech",The Devy Royale,/mock-drafts/2026/the-devy-royale-2026-christian-williams?date=2026-01-12,01/12/26
15,Tampa Bay Buccaneers,https://d9ioojyvhqpok.cloudfront.net/msuxos8ly0nc1k8hdoqwu4i474gy,Sonny Styles,"LB, Ohio State",The Devy Royale,/mock-drafts/2026/the-devy-royale-2026-christian-williams?date=2026-01-12,01/12/26
16,New York Jets,https://d9ioojyvhqpok.cloudfront.net/q24gwl057wr8m45j721lyzcmo02y,Kevin Concepcion,"WR, Texas A&M",The Devy Royale,/mock-drafts/2026/the-devy-royale-2026-christian-williams?date=2026-01-12,01/12/26
17,Dallas Cowboys,https://d9ioojyvhqpok.cloudfront.net/zsuzkt2f9wsdhd2jop9y52t0o23v,Makai Lemon,"WR, USC",The Devy Royale,/mock-drafts/2026/the-devy-royale-2026-christian-williams?date=2026-01-12,01/12/26
18,New Orleans Saints,https://d9ioojyvhqpok.cloudfront.net/4eilxubn810qt0g49si3lufpmna5,Keldric Faulk,"EDGE, Auburn",The Devy Royale,/mock-drafts/2026/the-devy-royale-2026-christian-williams?date=2026-01-12,01/12/26
19,Carolina Panthers,https://d9ioojyvhqpok.cloudfront.net/fr0fbqfjezey73pseroeemh6dkdb,Peter Woods,"DL, Clemson",The Devy Royale,/mock-drafts/2026/the-devy-royale-2026-christian-williams?date=2026-01-12,01/12/26
20,Dallas Cowboys,https://d9ioojyvhqpok.cloudfront.net/zsuzkt2f9wsdhd2jop9y52t0o23v,Keith Abney II,"CB, Arizona State",The Devy Royale,/mock-drafts/2026/the-devy-royale-2026-christian-williams?date=2026-01-12,01/12/26
21,Pittsburgh Steelers,https://d9ioojyvhqpok.cloudfront.net/1dn51oaq9jcv4ru5y8d0ia6zi2v9,Kadyn Proctor,"OT, Alabama",The Devy Royale,/mock-drafts/2026/the-devy-royale-2026-christian-williams?date=2026-01-12,01/12/26
22,Los Angeles Chargers,https://d9ioojyvhqpok.cloudfront.net/j4p8yqb1an79ku7jag1o2n7zn7h1,Olaivavega Ioane,"IOL, Penn State",The Devy Royale,/mock-drafts/2026/the-devy-royale-2026-christian-williams?date=2026-01-12,01/12/26
23,Philadelphia Eagles,https://d9ioojyvhqpok.cloudfront.net/1ldfq04ko2t2zhj98gk9ivjavhtj,Kenyon Sadiq,"TE, Oregon",The Devy Royale,/mock-drafts/2026/the-devy-royale-2026-christian-williams?date=2026-01-12,01/12/26
24,Philadelphia Eagles,https://d9ioojyvhqpok.cloudfront.net/1ldfq04ko2t2zhj98gk9ivjavhtj,Jordyn Tyson,"WR, Arizona State",The Devy Royale,/mock-drafts/2026/the-devy-royale-2026-christian-williams?date=2026-01-12,01/12/26
25,Chicago Bears,https://d9ioojyvhqpok.cloudfront.net/deocbi3xlwoftxf811tstkfpwco0,Kayden McDonald,"DL, Ohio State",The Devy Royale,/mock-drafts/2026/the-devy-royale-2026-christian-williams?date=2026-01-12,01/12/26
26,San Francisco 49Ers,https://d9ioojyvhqpok.cloudfront.net/ir7u6astb3jm8rtcwnnzffzgjj7u,Caleb Lomu,"OT, Utah",The Devy Royale,/mock-drafts/2026/the-devy-royale-2026-christian-williams?date=2026-01-12,01/12/26
27,Houston Texans,https://d9ioojyvhqpok.cloudfront.net/vldmo1l0bjoegyp2z92vnjrvyu15,Christen Miller,"DL, Georgia",The Devy Royale,/mock-drafts/2026/the-devy-royale-2026-christian-williams?date=2026-01-12,01/12/26
28,Tennessee Titans,https://d9ioojyvhqpok.cloudfront.net/plyeetviei2ftzcsdi12xk7a0wc4,Brandon Cisse,"CB, South Carolina",The Devy Royale,/mock-drafts/2026/the-devy-royale-2026-christian-williams?date=2026-01-12,01/12/26
29,Los Angeles Rams,https://d9ioojyvhqpok.cloudfront.net/pdmammif0sowou8yealaa04xvul9,Chris Johnson,"CB, San Diego State",The Devy Royale,/mock-drafts/2026/the-devy-royale-2026-christian-williams?date=2026-01-12,01/12/26
30,New England Patriots,https://d9ioojyvhqpok.cloudfront.net/vtc481ivfignu5ryapf3p5earoms,Romello Height,"EDGE, Texas Tech",The Devy Royale,/mock-drafts/2026/the-devy-royale-2026-christian-williams?date=2026-01-12,01/12/26
31,Denver Broncos,https://d9ioojyvhqpok.cloudfront.net/0l6xxqizh73gkq4mqqlc9lrsj1vl,Dillon Thieneman,"S, Oregon",The Devy Royale,/mock-drafts/2026/the-devy-royale-2026-christian-williams?date=2026-01-12,01/12/26
32,Las Vegas Raiders,https://d9ioojyvhqpok.cloudfront.net/wce65esozohwhhfu9buy5wcnsoq3,Gennings Dunker,"OT, Iowa",The Devy Royale,/mock-drafts/2026/the-devy-royale-2026-christian-williams?date=2026-01-12,01/12/26
